sender_id,sent_time,Code Contribution,Knowledge Sharing,Patch Posting,Progress Control,Acknowledgement and Response
0,2020-08-20 09:35:52,0.8837853221080865,0.009193858148661221,0.004838108967707089,0.1876696511824295,0.26486259314110117
0,2020-08-20 09:35:55,0.8938067472461253,0.0064265541796380676,0.005591899934744848,0.22004646411867046,0.25508479313165267
0,2020-08-20 09:36:02,0.8754372495557601,0.003636765230409656,0.0036898652604421267,0.11439088783830269,0.2692324471189414
0,2020-08-20 09:36:06,0.8088280728206724,0.003769958788822733,0.004840814067788135,0.1310275596222908,0.26931764657370294
0,2020-08-20 09:36:09,0.8400269159303086,0.005537202356010233,0.0029734878089588967,0.14136750833381875,0.2753365271971786
0,2020-08-20 09:36:40,0.9108580516903777,0.0022813686841400326,0.006186982351980674,0.21223774210543334,0.2615531444573296
0,2020-08-20 09:36:44,0.8492112716373313,0.006435510825113634,0.003405619612470545,0.26461587454057856,0.29378431595717197
0,2020-08-20 09:36:49,0.8733934104933286,0.0031438517446191116,0.0035828201633824053,0.15165624384604998,0.2713477866670403
0,2020-08-20 09:37:00,0.8208973029385038,0.0033467104631972324,0.006025360955642212,0.18278625940537982,0.2645412534238525
0,2020-08-20 09:37:10,0.8565859386393091,0.003584393510872819,0.004798735965174328,0.09792090847670752,0.26679858981940885
0,2020-08-20 09:37:16,0.9104184694898919,0.0031504481331726536,0.005556987376143407,0.11185885848576506,0.27310924908994366
0,2020-08-20 09:37:52,0.8023492273923936,0.01018107508190572,0.005554738082273802,0.17433430911794887,0.2560253952612064
0,2020-08-20 09:37:53,0.9164589547055617,0.005396491889190054,0.0032429022690901865,0.12261626389844817,0.2735925627284228
0,2020-08-20 09:38:05,0.8737230815245512,0.013216499131527277,0.00434618980762258,0.1387840584651554,0.28035327365296586
0,2020-08-20 09:38:08,0.8739366564798047,0.009273983342944754,0.004534760589393394,0.1091997407512033,0.2758097594991522
0,2020-08-20 09:38:13,0.830922060887535,0.004418034049460585,0.0040283796392566185,0.1810830398047909,0.2642594600991194
0,2020-08-20 09:38:19,0.8552735293856293,0.007989525789440352,0.005043741199145413,0.1795273134006212,0.2725308798294648
0,2020-08-20 09:38:23,0.8768686827069906,0.004632373451282746,0.004843244442217398,0.14818491746352064,0.2824036954074221
0,2020-08-20 09:38:36,0.8172221654042662,0.007422997509705279,0.00639729149824797,0.21513511426549042,0.26088636594278947
0,2020-08-20 09:38:44,0.8501988833596857,0.004017769580176425,0.004694211361059519,0.15515932693827084,0.26791517032865364
0,2020-08-20 09:38:51,0.8593974459483971,0.002890707715153348,0.003412840762313296,0.049339693383583016,0.2892881219124101
